               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.038952,            0.012247,           0.0063367,             0.94785,             0.93421,             0.95803,             0.50046,            0.028876,           0.0050927,           0.0039462,           0.0072082,           0.0072082,           0.0072082
                 143,            0.041721,           0.0091315,           0.0088219,             0.97187,             0.96334,             0.98429,             0.53188,            0.031742,           0.0049052,           0.0034903,           0.0071884,           0.0071884,           0.0071884
                 144,            0.044542,            0.011847,           0.0066484,             0.97187,             0.96334,             0.98429,             0.53188,            0.031742,           0.0049052,           0.0034903,           0.0071686,           0.0071686,           0.0071686
                 145,            0.041223,            0.010356,           0.0060623,             0.99582,             0.98936,               0.995,             0.65727,            0.026471,           0.0048649,           0.0034257,           0.0071488,           0.0071488,           0.0071488
                 146,            0.039891,           0.0099235,           0.0045643,             0.97185,             0.96284,             0.98581,             0.53207,            0.027794,           0.0050064,           0.0035554,            0.007129,            0.007129,            0.007129
                 147,             0.04039,            0.012137,           0.0060188,             0.83024,             0.95119,               0.952,             0.57376,            0.028812,           0.0049846,           0.0036919,           0.0071092,           0.0071092,           0.0071092
                 148,            0.045055,            0.010357,           0.0051609,             0.83024,             0.95119,               0.952,             0.57376,            0.028812,           0.0049846,           0.0036919,           0.0070894,           0.0070894,           0.0070894
                 149,            0.035301,            0.012111,           0.0059769,             0.97146,             0.95931,             0.96901,              0.6022,            0.025189,           0.0050624,           0.0037658,           0.0070696,           0.0070696,           0.0070696
                 150,            0.034603,            0.011313,           0.0053233,             0.79001,              0.9379,             0.93783,             0.65334,            0.027413,           0.0050469,           0.0035859,           0.0070498,           0.0070498,           0.0070498
                 151,            0.041543,            0.011837,            0.006693,             0.77265,             0.97356,             0.89526,             0.42999,            0.030701,           0.0050157,           0.0032717,             0.00703,             0.00703,             0.00703
                 152,            0.041991,           0.0085669,           0.0038587,             0.77265,             0.97356,             0.89526,             0.42999,            0.030701,           0.0050157,           0.0032717,           0.0070102,           0.0070102,           0.0070102
                 153,            0.037479,           0.0088473,           0.0039643,              0.7819,             0.94373,             0.93955,             0.53046,            0.028004,           0.0050479,           0.0032419,           0.0069904,           0.0069904,           0.0069904
                 154,            0.038066,            0.010047,           0.0070959,             0.97199,             0.95996,              0.9832,             0.64069,            0.026464,           0.0049298,           0.0036521,           0.0069706,           0.0069706,           0.0069706
